,pvalue_QTE_twoSides,pvalue_QDE_twoSides,pvalue_QIE_twoSides,pvalue_normal_QDE_twoSides,pvalue_QTE_RightSide,pvalue_QDE_RightSide,pvalue_QIE_RightSide,pvalue_normal_QDE_RightSide,QDE,QIE,coe_beta0_mse,coe_gamma_y_mse,coe_beta11_mse,coe_beta12_mse,coe_phi01_mse,coe_Gamma_s1_mse,coe_phi11_mse,coe_phi12_mse,coe_phi02_mse,coe_Gamma_s2_mse,coe_phi21_mse,coe_phi22_mse,mean_stat_QIE_b,sd_stat_QIE_b,run_time,QDE_mse,QIE_mse,QTE_indicator_twoSides,QDE_indicator_twoSides,QIE_indicator_twoSides,QDE_norm_indicator_twoSides,QTE_indicator_RightSide,QDE_indicator_RightSide,QIE_indicator_RightSide,QDE_norm_indicator_RightSide
Run0,0.9,0.6,0.9,0.3584813136435234,0.3,0.9,0.3,0.8207593431782383,-0.21357107903943948,-1.163967070316771,0.002874238590970999,0.004829728145379898,0.0016233942977506247,0.0012980993471594859,0.010988013371909666,0.008730205069396715,0.014649013531341749,0.00814273184581332,0.009368590802678592,0.008775956588570116,0.00634732179797894,0.011242574359442493,-2.513985717044959,4.301632952113401,0.02595963478088379,0.0456126058020705,1.354819340781807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run1,0.1,0.9,0.1,0.9301810531417118,0.9,0.5,0.9,0.4650905265708559,0.01579207001661176,-5.809257221891742,0.009262966659779244,0.005853687457887376,0.006801400985250179,0.0028805679927985084,0.01004219323266936,0.008506852287392463,0.010941951452718235,0.004956721670142172,0.02276158921766405,0.032650243761074976,0.011718577201396005,0.020806515377272874,-1.8378187239237112,2.9857178886021347,0.024937701225280762,0.00024938947540956814,33.74746947010136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run2,0.4,0.4,0.4,0.3495055445569517,0.2,0.4,0.2,0.17475277227847585,0.20430075247096818,3.7857185168877616,0.0052612913637761225,0.01610132849102808,0.0022622979531148842,0.00196502200423208,0.008732786254604262,0.010355479570426427,0.008552280413320974,0.007924438934740463,0.009667106170337681,0.014985558277083304,0.007079553480921156,0.019897053135002552,-0.27836596501810856,3.769419116397945,0.02459233204523722,0.041738797460203814,14.331664689106873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run3,1.0,0.0,1.0,0.019265184553407755,0.6,1.0,0.6,0.9903674077232961,-0.42287162621052476,0.22314241008544905,0.005402271546737153,0.008676796122042514,0.001968221716678584,0.004777319340090048,0.021853998867983063,0.05365939788905836,0.013426381712828974,0.0022615447566842256,0.008704943179226815,0.033834955776460916,0.008645157040790252,0.020329769318243127,2.0273445289341874,4.189903533987582,0.02452892859776815,0.17882041225393377,0.049792535178742714,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Run4,0.9,1.0,0.9,0.8585670606079914,0.5,0.4,0.5,0.4292835303039957,0.03571372769951461,0.5592459620646145,0.005680121081201461,0.01933629722331213,0.005935144088081171,0.005988401816362118,0.011382471944539783,0.022427533959830083,0.004619230230035643,0.0058696037735476705,0.00897474765846769,0.014821062020465719,0.0079166449425572,0.01666679664978649,0.8321243008179582,3.6389323421495763,0.02454458475112915,0.0012754703461950768,0.3127560460855763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run5,0.6,0.4,0.6,0.24798106863603064,0.2,0.7,0.2,0.8760094656819847,-0.29749925307683245,2.986177449711817,0.0036810997008774114,0.004828496384632153,0.00868485440821928,0.005779402546084744,0.010480864861696401,0.005738385528808687,0.012374156772858223,0.010601144231721525,0.012499161911013731,0.017974712385056567,0.010682130205191426,0.01886987630498994,-1.4464853055288764,4.581625803145059,0.024543853600819905,0.0885058055812732,8.917255761167372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run6,0.1,0.1,0.1,0.06202930861635769,0.0,1.0,0.0,0.9689853456918212,-0.33324258141761703,6.376064444248556,0.004509529749821549,0.007277795870929043,0.003901256071424279,0.003269857276963334,0.015465149475972623,0.009228139456091678,0.01280455725560719,0.004674501580484139,0.010540494934365605,0.014908441892190642,0.006284338588087059,0.013118754512997087,-1.3280873078201816,3.7072583882471477,0.024569249153137206,0.11105061806987712,40.65419779721064,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Run7,0.7,0.5,0.7,0.3389158387432496,1.0,0.2,1.0,0.1694579193716248,0.20328758041707734,-1.6188274372516782,0.00828979245542739,0.019118164283714538,0.016227063382683746,0.006422569567324184,0.00874515223251959,0.01478129725546394,0.016581115456463114,0.008619792032229451,0.008636751270114758,0.01409588251816811,0.007136234606075681,0.03068287726899221,3.3187882570565286,3.0742964895606604,0.024586947758992513,0.041325840351829686,2.620602271598836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run8,0.8,0.5,0.8,0.6469155703900826,0.3,0.1,0.3,0.3234577851950413,0.12103104706331219,0.7148885214527353,0.00311053704547275,0.005871632067250935,0.001783726068844274,0.0026820107789350275,0.008810946031866418,0.010970573311574212,0.006385226074168182,0.003986846336944483,0.008662945285670505,0.012678430528176939,0.008014355123179441,0.018109450919355553,-0.31522333500202554,4.816458773682052,0.025713964303334554,0.01464851435324169,0.511065598104878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run9,0.6,0.6,0.6,0.6017388144669065,0.6,0.3,0.6,0.30086940723345323,0.10573278517343675,-2.2613245518117493,0.0030392654590986213,0.004387987537674029,0.004752693343058548,0.005583709398977126,0.012523563685625714,0.006783101931247643,0.0038691435921003243,0.004473160560308081,0.018632190424941842,0.01285868079203945,0.03253985513755292,0.017445049523301438,-2.021811673328404,4.30439621577684,0.024667763710021974,0.011179421860532125,5.113588728626609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
